企業情報_1_名前,企業情報_2_サイト,企業情報_3_求人サイト企業情報,連絡先_1_住所,連絡先_2,連絡先_3,連絡先_4
株式会社アコモデーションファースト,http://www.mitsui-accommo.co.jp/index.html,https://employment.en-japan.com/desc_1034343/?PK=FF3BE0&arearoute=1,〒106-0032/東京都港区六本木6-1-24　ラピロス六本木7F,採用担当,0120-301-806,
株式会社コトナ,http://kotona-kyoto.com/,https://employment.en-japan.com/desc_1035325/?PK=FF3BE0&arearoute=1,〒605-0042/京都市東山区三条通白川橋東6丁目今道町250-5,075-751-8486,,
社会福祉法人佰和会 特別養護老人ホーム 横浜ナーシングビレッジ,http://www.hakuwakai.net/,https://employment.en-japan.com/desc_1031675/?PK=FF3BE0&arearoute=1,〒226-0006 神奈川県横浜市緑区白山4-74-3,採用担当,045-511-7788,
株式会社ヴィエリス,http://kireimo.jp,https://employment.en-japan.com/desc_1031892/?PK=FF3BE0&arearoute=1,【本社】〒151-0051/東京都渋谷区千駄ヶ谷2-1-8 Barbizon8 8F,採用担当,03-6747-7971(採用課直通／平日10:00~19:00),
株式会社シャンヴル・スフレ,https://www.style-japan.co.jp/,https://employment.en-japan.com/desc_1034149/?PK=FF3BE0&arearoute=1,〒650-0043/兵庫県神戸市中央区弁天町52番1号　ハーバーランド神戸本社ビル,採用担当,078-361-5400,
アンダンテ株式会社,http://www.andante-inc.com,https://employment.en-japan.com/desc_1035527/?PK=FF3BE0&arearoute=1,〒222-0033/横浜市港北区新横浜2‐6-13 新横浜ステーションビル7階A室,採用担当,045-594-8945,
社会福祉法人桐仁会,http://www.tojinkai.or.jp/,https://employment.en-japan.com/desc_1030398/?PK=FF3BE0&arearoute=1,■特別養護老人ホーム　仙川くぬぎ園/東京都調布市入間町2-28-33,青木・梅津,03-5787-7668,
株式会社クレアフューチャー,https://www.crea-future.co.jp/,https://employment.en-japan.com/desc_1031624/?PK=FF3BE0&arearoute=1,読み取り不可避エラー,,,
有限会社ベビーステーション,http://www.babystation.co.jp,https://employment.en-japan.com/desc_1033862/?PK=FF3BE0&arearoute=1,■本社/〒141-0031   /東京都品川区西五反田8-9-5 FORECAST五反田WEST4F,採用担当,03-3779-1513,
スマートキッズ株式会社（Z会グループ）,https://smart-kids.co.jp/,https://employment.en-japan.com/desc_1033943/?PK=FF3BE0&arearoute=1,〒135-0047/東京都江東区富岡2-1-9 HF門前仲町ビルディング8F,採用担当,03-6458-5467,
株式会社ベルポスト,https://slends.jp/,https://employment.en-japan.com/desc_1034344/?PK=FF3BE0&arearoute=1,本社／大阪府大阪市北区梅田1-1-3　2階18-1,採用担当,0120-634-777,
はぐはぐキッズ株式会社,https://hughugkids.jp/,https://employment.en-japan.com/desc_1034769/?PK=FF3BE0&arearoute=1,【本社】/〒143-0023/東京都大田区山王3-30-11,高根澤,03-6429-7545,
社会福祉法人川崎聖風福祉会,http://kawasakiseifu.or.jp/,https://employment.en-japan.com/desc_1024229/?PK=FF3BE0&arearoute=1,社会福祉法人　川崎聖風福祉会　/川崎市川崎区池上新町3-1-8,採用担当,044-288-5401(FAX:044-287-2213),kawasakiseifuu@gaea.ocn.ne.jp
合同会社ぴゅーる,https://www.xn--09j8as56b.com,https://employment.en-japan.com/desc_1024653/?PK=FF3BE0&arearoute=1,【本社】/〒703-8208/岡山県岡山市中区今在家131-1 ほたるの郷,採用担当,086-275-0861,
株式会社オール・セインツ,https://all-saints.jp/?utm_medium=referral&utm_source=weddingpark.net&utm_term=WP_2954,https://employment.en-japan.com/desc_1030166/?PK=FF3BE0&arearoute=1,〒963-8811 /福島県郡山市方八町2-2-11,採用担当,024-956-3551,
社会福祉法人カメリア会,http://camellia-kai.com/,https://employment.en-japan.com/desc_1032300/?PK=FF3BE0&arearoute=1,【渋谷区つばめの里・本町東】/〒151-0071/東京都渋谷区本町3-46-1,採用担当,03-6383-3870,
社会福祉法人昭徳会,http://www.syoutokukai.or.jp/honbu/,https://employment.en-japan.com/desc_1033757/?PK=FF3BE0&arearoute=1,【本社】〒466-0832　名古屋市昭和区駒方町4丁目10番地//※パートを希望される方は、各施設が連絡先となります。//・特別養護老人ホーム　高浜安立荘/〒444-1335　愛知県高浜市芳川町1-2-73／TEL：0566-52-5050//・特別養護老人ホーム　小原安立/〒470-0564　愛知県豊田市沢田町座内22／TEL：0565-66-0012//・特別養護老人ホーム　安立荘/〒470-0213　愛知県みよし市打越町山ノ神60／TEL：0561-32-0115,採用担当,052-831-5171,
医療法人若葉会 横浜田園都市病院,https://ydh-recruit.com,https://employment.en-japan.com/desc_1034244/?PK=FF3BE0&arearoute=1,〒226-0026/神奈川県横浜市緑区長津田町3031-2,採用担当,045-981-2000,
医療法人社団紡潤会 ウィルAGAクリニック,https://will-agaclinic.com,https://employment.en-japan.com/desc_1035276/?PK=FF3BE0&arearoute=1,＜本部＞/〒160-0021/東京都新宿区歌舞伎町1-5-3　新宿CENTER COURT5F,採用担当,03-6233-7732,
株式会社FalEx,http://falex.co.jp,https://employment.en-japan.com/desc_1035697/?PK=FF3BE0&arearoute=1,【本社】/〒330-0855/埼玉県さいたま市大宮区上小町603-1 新横溝ビル103,採用担当,048-871-7515,
あおば歯科,http://www.aoba-shika.net/,https://employment.en-japan.com/desc_1036162/?PK=FF3BE0&arearoute=1,〒278-0031　千葉県野田市中根253-6,採用担当,04-7192-7111　お問い合わせ／070-1345-7111,
WDBココ株式会社,https://www.wdbcoco.com/,https://employment.en-japan.com/desc_1035555/?PK=FF3BE0&arearoute=1,【本社】/〒104-6127/東京都中央区晴海1-8-11 トリトンスクエアY棟27F,採用グループ　中途採用担当,03-5144-2255,
医療法人としわ会,https://www.toshiwa-kai.or.jp,https://employment.en-japan.com/desc_1035753/?PK=FF3BE0&arearoute=1,■中区複合型介護施設/〒460-0022/愛知県名古屋市中区金山5-8-1,採用担当,052-882-1040,
株式会社ten,https://ten100.jp/,https://employment.en-japan.com/desc_1032036/?PK=FF3BE0&arearoute=1,福岡本社／福岡県福岡市中央区大名2-10-1 シャンボール大名C棟1301号,採用担当者,092-707-0399,
社会福祉法人三篠会 堺市立重症心身障害者（児）支援センター,https://www.misasakai.or.jp/,https://employment.en-japan.com/desc_1028084/?PK=FF3BE0&arearoute=1,■堺市立重症心身障害者（児）支援センター「ベルデさかい」/〒590-0808/大阪府堺市堺区旭ヶ丘中町4-3-1（健康福祉プラザ内）,採用担当,072-275-8510,
社会福祉法人若草保育園,https://web-wakakusa.jp,https://employment.en-japan.com/desc_1031640/?PK=FF3BE0&arearoute=1,【若草保育園】/〒170-0005/東京都豊島区南大塚1-10-3,採用担当,03-3945-6372,
社会福祉法人普門会,http://nishiki-en.com/,https://employment.en-japan.com/desc_1033736/?PK=FF3BE0&arearoute=1,■特別養護老人ホーム「にしき苑」/〒185-0014/東京都国分寺市東恋ヶ窪2-22-38,採用担当,042-327-2225,
東京ドルフィンクラブ（株式会社浅見製作所）,http://tokyo-dolphin.jp/,https://employment.en-japan.com/desc_1034076/?PK=FF3BE0&arearoute=1,【江戸川スイミングスクール】/〒133-0052/東京都江戸川区東小岩4-11-16,清水,03-3658-3101,
にしやま消化器内科,http://www.nishiyama-naika.com,https://employment.en-japan.com/desc_1035501/?PK=FF3BE0&arearoute=1,大阪府大阪市阿倍野区阪南町5丁目23-18,採用担当,06-4700-7700,
株式会社さなる,https://www.sanaru.jp/index.html,https://employment.en-japan.com/desc_1032998/?PK=FF3BE0&arearoute=1,【株式会社さなる本社】〒160-0023/東京都新宿区西新宿3-2-8,人事室 採用担当,03-3347-0376,
株式会社GROOVY,http://www.grooovy.co.jp/,https://employment.en-japan.com/desc_1031724/?PK=FF3BE0&arearoute=1,保育園『はじまり はじまり えん niko』/東京都世田谷区玉川1-15-6-103 二子玉川ライズプラザモール,採用担当,groovy@grooovy.co.jp,
株式会社第一成人病研究所,http://f-seijin.jp/index.html,https://employment.en-japan.com/desc_1032852/?PK=FF3BE0&arearoute=1,【本社】/〒164-0012/東京都中野区本町2-46-1　中野坂上サンブライトツイン10階,採用担当,03-3320-7251,
社会福祉法人やすらぎ福祉会,http://www.yasuragi-swc.or.jp,https://employment.en-japan.com/desc_1034413/?PK=FF3BE0&arearoute=1,【法人本部】/〒651-1101/兵庫県神戸市北区山田町小部字惣六畑山8-88,採用担当,078-593-7171,
医療法人社団慶晃会,http://www.keikoukai-medical.jp/,https://employment.en-japan.com/desc_1023195/?PK=FF3BE0&arearoute=1,■管理事務局本部／神奈川県川崎市多摩区登戸1889　第2井出ビル3階,採用担当,044-932-1695,
株式会社COCO・NICE,http://sora-carecenter.net/,https://employment.en-japan.com/desc_1032018/?PK=FF3BE0&arearoute=1,【本社・soraケアセンター】/〒558-0011/大阪府大阪市住吉区苅田6-16-16 苅田サンハイツ101号,採用担当,06-6105-0461,
社会福祉法人猪位金福祉会 暖家の丘,http://dankenooka.net/,https://employment.en-japan.com/desc_1032058/?PK=FF3BE0&arearoute=1,福岡県田川市大字糒824-20,採用担当,0947-44-8839,
あさひクリニック歯科,http://www.asahi-clinic-dc.com/,https://employment.en-japan.com/desc_1032205/?PK=FF3BE0&arearoute=1,〒284-0045/千葉県四街道市美しが丘1-18-7-2階,採用担当,043-433-8211,
社会福祉法人名古屋ライトハウス,https://nagoya-lighthouse.jp/,https://employment.en-japan.com/desc_1032520/?PK=FF3BE0&arearoute=1,瀬古マザー園／愛知県名古屋市守山区瀬古2-301,採用担当　近藤,052-792-5556,
社会福祉法人天童会,http://www.tendoukai.net/,https://employment.en-japan.com/desc_1032527/?PK=FF3BE0&arearoute=1,【天童会 秋津療育園】/東京都東村山市青葉町3‐31‐1,担当法人事務局,042-391-1377,koike@tendoukai.net
一般財団法人日本老人福祉財団,https://jscwo.jp/,https://employment.en-japan.com/desc_1032591/?PK=FF3BE0&arearoute=1,浜松＜ゆうゆうの里＞／〒431-1304　/静岡県浜松市北区細江町中川7399,採用担当,053-439-2711,
株式会社クローバー,https://www.kitanjuku.com/,https://employment.en-japan.com/desc_1032658/?PK=FF3BE0&arearoute=1,■本郷事業所/〒113-0033/東京都文京区本郷2-25-5　角地ビル3階,採用担当,03-3868-3174,
医療法人広至会,https://www.matsuokaseikeigeka.com/,https://employment.en-japan.com/desc_1033460/?PK=3B0685&arearoute=1,〒470-2102/愛知県知多郡東浦町緒川大門二区34-1,採用担当,0562-82-1222,
医療法人社団白寿会 介護老人保健施設青葉の丘,http://www.aobanooka.com/,https://employment.en-japan.com/desc_1033468/?PK=3B0685&arearoute=1,神奈川県横浜市青葉区元石川町6568,採用担当,045-904-2255,
株式会社山人,https://yamado.co.jp/,https://employment.en-japan.com/desc_1033566/?PK=3B0685&arearoute=1,【本社】/〒029-5514　岩手県和賀郡西和賀町湯川52-71-10,採用担当,0197-82-2222,
社会福祉法人気づき,http://www.kiduki.or.jp/,https://employment.en-japan.com/desc_1034845/?PK=3B0685&arearoute=1,〒270-2203/千葉県松戸市六高台3-77,採用担当,047-393-8934,
医療法人社団美実会 アリシアクリニック,https://www.aletheia-clinic.com/recruit/,https://employment.en-japan.com/desc_1026339/?PK=3B0685&arearoute=1,【本部】/〒106-6234/東京都港区六本木3-2-1  住友不動産六本木グランドタワー34F,採用担当,0120-810-881(受付時間平日10:00～19:00),
医療法人財団明理会 新松戸中央総合病院(IMSグループ),http://www.ims.gr.jp/group/index.html,https://employment.en-japan.com/desc_1034641/?PK=3B0685&arearoute=1,■新松戸中央総合病院/〒270-0034/千葉県松戸市新松戸1-380,採用担当,047-345-1112,
ライフサポート株式会社,https://www.lifesupport.co.jp,https://employment.en-japan.com/desc_1031096/?PK=3B0685&arearoute=1,＜本社＞/〒151-0051/東京都渋谷区千駄ヶ谷5-34-7　NEX新宿ビル3F,採用担当,03-6273-1318,
医療法人陽明会,https://www.iryouhoujin-youmeikai.com,https://employment.en-japan.com/desc_1032526/?PK=3B0685&arearoute=1,愛知県名古屋市熱田区幡野町17-10,桑山、辻本,ytsujimoto@magokoro-clinic.com,
株式会社リジョイスカンパニー,https://www.rejoice-company.co.jp/,https://employment.en-japan.com/desc_1032555/?PK=3B0685&arearoute=1,【本社】/〒105-0012 東京都港区芝大門2-3-6 大門アーバニスト2F,採用事務局,03-3433-0102,
医療法人社団若葉会,http://hikoukipanda.jp/,https://employment.en-japan.com/desc_1034315/?PK=3B0685&arearoute=1,【古川耳鼻咽喉科医院 】/横浜市中区若葉町2-24-5　松井ビル2階,採用担当,045-261-8733,
株式会社stellar education garden,http://stellar-ed.com/,https://employment.en-japan.com/desc_1028149/?PK=3B0685&arearoute=1,〒246-0025 横浜市瀬谷区阿久和西2-60-1 アクワメントシティ102,園長,045-777-6877,
株式会社優空,https://emerald-sato.jp/company/yusora/,https://employment.en-japan.com/desc_1028198/?PK=3B0685&arearoute=1,【本社】/〒538-0042/大阪市鶴見区今津中1丁目6-49　ウィルコート今津102,採用担当,06-6969-0933,
医療法人明和会,https://m-meiwakai.jp/,https://employment.en-japan.com/desc_1031705/?PK=3B0685&arearoute=1,【本部】広島県山県郡北広島町壬生433-4,原,0826-72-2050,
オーク クリニックフォーミズ病院（株式会社ジェーケーメディカルアソシエイツ）,,https://employment.en-japan.com/desc_1032106/?PK=3B0685&arearoute=1,オーク クリニック フォーミズ病院/〒271-0072/千葉県松戸市竹ケ花50-3,採用担当,047-330-1001,
社会福祉法人ノーマライゼーション協会（西淡路希望の家）,http://www.normalization.or.jp/,https://employment.en-japan.com/desc_1032125/?PK=3B0685&arearoute=1,【西淡路希望の家】/〒533-0031/大阪市東淀川区西淡路1-13-28,採用担当,06-6323-4991,
セントケア四国株式会社,https://care-net.biz/37/saintcare-shikoku/index.php,https://employment.en-japan.com/desc_1032211/?PK=3B0685&arearoute=1,■徳島事業部	/〒770-8054 徳島県徳島市山城西3丁目41-2/電話番号／088-654-1030//■香川事業部	/〒763-0082 香川県丸亀市土器町東7丁目457/電話番号／0877-23-1013//■愛媛事業部	/〒791-8067 愛媛県松山市古三津2丁目20-1/電話番号 ／089-951-1160//■高知事業部	/〒780-0071 高知県高知市高そね21-17　/電話番号／088-882-5771,採用担当,徳島事業部088-654-1030／香川事業部0877-23-1013／愛媛事業部089-951-1160／高知事業部088-882-5771,
株式会社ケアステーション・ポピー,http://www.care-poppy.jp,https://employment.en-japan.com/desc_1032353/?PK=3B0685&arearoute=1,【本社】/〒272-0822/千葉県市川市宮久保1-11-6,採用担当,047-375-5800,
株式会社ワイグッドケア,http://ygood.jp/,https://employment.en-japan.com/desc_1033381/?PK=3B0685&arearoute=1,【大宮本部】/埼玉県さいたま市大宮区大門町1-63　栗橋ビル5階,採用担当,0800-555-3140,
株式会社すずなり,http://suzu-care.jp/,https://employment.en-japan.com/desc_1034338/?PK=3B0685&arearoute=1,すずなり矢口／東京都大田区矢口2-11-24,岩渕,03-5732-3655,
株式会社ほねごり,http://www.honegori-group.com/,https://employment.en-japan.com/desc_1031559/?PK=3B0685&arearoute=1,【本部】/〒252-0238/神奈川県相模原市中央区星が丘4‐16‐14,採用担当,042-703-5548,
株式会社サクラサクセス,https://www.sakusakura.jp/,https://employment.en-japan.com/desc_1031731/?PK=3B0685&arearoute=1,〒690-0001/島根県松江市東朝日町136-2　松江石油ビル3F,細木,0852-67-6690,
医療法人社団三優会,http://www.3uk.jp/,https://employment.en-japan.com/desc_1031757/?PK=3B0685&arearoute=1,◆事務局/東京都西東京市田無町1-13-21 加藤ビル3階,採用担当,042-452-1184,
社会福祉法人首都圏光の村 千葉光の村授産園,http://www.hikarinomura.com,https://employment.en-japan.com/desc_1031932/?PK=3B0685&arearoute=1,【千葉光の村授産園】/〒265-0046　千葉県千葉市若葉区小間子町1-8,採用担当,043-228-5300,
株式会社リジョイスカンパニー,https://www.rejoice-company.co.jp/,https://employment.en-japan.com/desc_1032497/?PK=3B0685&arearoute=1,【本社】/〒105-0012 東京都港区芝大門2-3-6 大門アーバニスト3F,採用担当,03-3433-0102,
株式会社テンダーラビングケアサービス,http://www.tenderlove.co.jp/,https://employment.en-japan.com/desc_1032530/?PK=3B0685&arearoute=1,【東京本社】/〒104-0061/東京都中央区銀座3丁目9番19号 吉澤ビル,人材マネジメント部,03-6226-5084,
株式会社シークェンス,http://www.sequence.jp,https://employment.en-japan.com/desc_1032664/?PK=3B0685&arearoute=1,【本社】/〒106-6137　東京都港区六本木6-10-1　六本木ヒルズ森タワー37F,採用担当,03-3479-8881,
株式会社ウェルモ,https://welmo.co.jp/,https://employment.en-japan.com/desc_1029476/?PK=3B0685&arearoute=1,UNICO本部／ 福岡県福岡市中央区天神4丁目4-11 天神ショッパーズ福岡8階,UNICO採用担当（神鳥・伊地知）, 092-725-2771,recruit@welmo.co.jp
社会福祉法人清栄会 特別養護老人ホーム シオンとしま,https://www.seiei-kai.jp/,https://employment.en-japan.com/desc_1031536/?PK=3B0685&arearoute=1,【シオンとしま】/〒170-0014/東京都豊島区池袋1-4-11,採用担当,03-3984-7477,
医療法人慈公会,https://kodaira.life/,https://employment.en-japan.com/desc_1032035/?PK=3B0685&arearoute=1,〒335-0035 埼玉県戸田市笹目南町20-16,採用担当,048-421-3031,
医療法人社団白報会 越谷幸楽園,https://hakuhoukai.com/,https://employment.en-japan.com/desc_1032072/?PK=3B0685&arearoute=1,【越谷幸楽園】/埼玉県越谷市大澤2-13-31,採用担当,048-970-7070.,
シンコースポーツ株式会社 大阪支店,https://www.shinko-sports.com,https://employment.en-japan.com/desc_1033092/?PK=3B0685&arearoute=1,【大阪支店】/〒550-0002/大阪府大阪市西区江戸堀1-2-11,採用担当,06-6147-7182,
JFRこどもみらい株式会社,https://jfr-kodomomirai.jp/,https://employment.en-japan.com/desc_1033207/?PK=3B0685&arearoute=1,【本社】/〒103-0027 東京都中央区日本橋一丁目4番1号 日本橋一丁目三井ビルディング12階//＜電話でのご相談も受け付けております＞/まずは気軽にご連絡ください。,採用担当,03-6895-0258,
株式会社楽久屋,http://rakuya-onsen.com/,https://employment.en-japan.com/desc_1033914/?PK=3B0685&arearoute=1,〒104-0031/東京都中央区京橋二丁目5番1号　TCMビルディング6階,採用担当　貝瀬,03-3538-1526　携帯／080-7049-9390,
株式会社WizField,http://www.wiz-group.jp/,https://employment.en-japan.com/desc_1022745/?PK=3B0685&arearoute=1,【本社】/〒448-0831/愛知県刈谷市熊野町2-3-5,採用担当,0566-91-1510,
株式会社CREA FORTE,,https://employment.en-japan.com/desc_1033057/?PK=3B0685&arearoute=1,本社オフィス／愛知県名古屋市中村区松原町5-1 クレアパレス201号室,採用担当　森,090-3446-2958　もしくは　052-501-0200,
ライフサポート株式会社,https://www.lifesupport.co.jp,https://employment.en-japan.com/desc_1031653/?PK=3B0685&arearoute=1,本社／東京都渋谷区千駄ヶ谷5-34-7　NEX新宿ビル3F,採用担当,03-6709-9264,
株式会社ネクステム,,https://employment.en-japan.com/desc_1031331/?PK=3B0685&arearoute=1,〒532-0002/大阪府大阪市淀川区東三国5-1-3 クカワビル2階,松本（園長）,06-6398-7388(園固定)／ 080-3037-0240(園長携帯),
ホームクリニックえにし,http://clinic-enishi.com,https://employment.en-japan.com/desc_1031730/?PK=3B0685&arearoute=1,〒177-0041/東京都練馬区石神井町2-15-1 NMSビル2階,採用担当　（受付時間／月～金　9：00～18：00）,03-6913-2080,
医療法人社団好日会 南赤坂クリニック,,https://employment.en-japan.com/desc_1021420/?PK=3B0685&arearoute=1,〒107－0052/東京都港区赤坂1-11-36　レジデンスバイカウンテス420号, 採用担当,03-5561-9258,
株式会社アバンテック,,https://employment.en-japan.com/desc_1031318/?PK=3B0685&arearoute=1,〒464-0850/愛知県名古屋市千種区今池5-30-3,採用担当,052-735-0821,
株式会社ASPIREST,https://aspirest.com/,https://employment.en-japan.com/desc_1031869/?PK=3B0685&arearoute=1,■本社／横浜店/ 神奈川県横浜市西区北幸2丁目10-40 横浜西口TYビル8F,採用担当,info@aspirest.com,
株式会社stara,https://www.stara.co.jp/,https://employment.en-japan.com/desc_1026377/?PK=3B0685&arearoute=1,〒 343-0845/埼玉県越谷市南越谷1-19-5 森ビル3F,048-988-9999,,
平和ライフケアサービスグループ,http://www.heiwa-life.co.jp/,https://employment.en-japan.com/desc_1026855/?PK=3B0685&arearoute=1,今回の平和ライフケアサービスグループの合同募集の応募受付は、株式会社中山総合福祉マネジメントが行ないます。//【中山総合福祉マネジメント】/本社／〒272-0815　千葉県市川市北方2-10-19,採用担当,047-711-1605,
医療法人はぁとふる,http://www.heartful-health.or.jp/,https://employment.en-japan.com/desc_1026331/?PK=3B0685&arearoute=1,〒583-0875/大阪府羽曳野市樫山100-1,採用担当,072-953-0046,
株式会社エルチェ 本社,https://elche.co.jp/,https://employment.en-japan.com/desc_1029461/?PK=3B0685&arearoute=1,〒272-0115/千葉県市川市富浜2-12-18KIYビル2階,採用担当,047-306-0351,
株式会社やる気スイッチキャリア,https://www.yarukiswitch.jp/,https://employment.en-japan.com/desc_1023335/?PK=3B0685&arearoute=1,【本社】/東京都中央区八丁堀2-24-2 八丁堀第一生命ビル,採用担当,03-6845-4134　※新型コロナウイルス感染拡大に伴い、在宅勤務のためお電話でのご応募は受け付けておりません。予めご了承ください。,
秀学会グループ,,https://employment.en-japan.com/desc_1023584/?PK=3B0685&arearoute=1,※今回の秀学会グループの合同募集の応募受付は、社会福祉法人紀秀会が行ないます。//■紀秀会 川越南やまだ保育園/〒350-0822/埼玉県川越市山田2025-5,秀学会グループ　採用担当,049-299-6631,
株式会社アカデミー,https://www.academy.co.jp,https://employment.en-japan.com/desc_1026456/?PK=3B0685&arearoute=1,＜宇都宮本社＞/〒320-0074/栃木県宇都宮市細谷町371-12,リクルート部　採用担当,028-612-5615(受付時間：平日10:00～18:00),recruit@academy.co.jp
専門学校ニホン国際ITカレッジ,http://www.jiit.ac.jp/,https://employment.en-japan.com/desc_1028547/?PK=3B0685&arearoute=1,〒270-0014 千葉県松戸市小金59,採用担当,047-343-1110,
株式会社臼田 ファインモータースクール大宮,http://www.fine-motorschool.co.jp/,https://employment.en-japan.com/desc_1028738/?PK=0E0367&arearoute=1,【本社】/〒330-0804/埼玉県さいたま市大宮区堀の内町2-322-3（ファインモータースクール大宮内）,採用担当,048-641-7185,
株式会社U&U,https://u-u-challenge.co.jp/,https://employment.en-japan.com/desc_1026131/?PK=0E0367&arearoute=1,【本社】/〒400-0032/山梨県甲府市中央2-9-20 タカオカビル1階,採用担当,055-225-3262,
社会福祉法人常陽会,http://www.jyouyoukai.or.jp/,https://employment.en-japan.com/desc_1028295/?PK=0E0367&arearoute=1,本部／〒950-0107 新潟市江南区三百地2312番地3,採用担当, 025-278-5800,
医療法人財団明理会 イムス富士見総合病院（IMSグループ）,https://www.ims.gr.jp/fujimisougou/,https://employment.en-japan.com/desc_1027794/?PK=0E0367&arearoute=1,【イムス富士見総合病院】埼玉県富士見市鶴馬1967-1,採用担当,049-256-7771,
社会福祉法人はるの里,https://harunosato.com/,https://employment.en-japan.com/desc_1026848/?PK=0E0367&arearoute=1,〒615-8241/京都市西京区御陵谷町7-1,採用担当,075-394-5930,
株式会社星野リゾート・トマム クラブメッド北海道トマム,https://www.clubmed.co.jp/l/tomamu-hokkaido,https://employment.en-japan.com/desc_1026546/?PK=0E0367&arearoute=1,【採用窓口：株式会社クラブメッド】/東京都港区南麻布3-20-1　麻布グリーンテラス6F,採用担当,hr.japan@clubmed.com,
特別養護老人ホーム ケアプラザたま（社会福祉法人蓬莱会）,https://horaikai.or.jp/,https://employment.en-japan.com/desc_1026215/?PK=0E0367&arearoute=1,東京都多摩市永山三丁目12-2,採用担当,042-313-7518,
株式会社ケアハピネス,,https://employment.en-japan.com/desc_1024023/?PK=0E0367&arearoute=1,本社／大阪府大阪市浪速区下寺1-6-10 平賀ビル1F,採用担当,06-6635-0636,
社会福祉法人大形福祉会,http://ogatafukushi.or.jp/index.php,https://employment.en-japan.com/desc_1028360/?PK=0E0367&arearoute=1,■特別養護老人ホーム逢谷内/〒950-0017/新潟県新潟市東区新松崎1-1-12,採用担当,025-257-9633,
京大ゼミナール久保塾株式会社,http://www.kubojuku.co.jp/,https://employment.en-japan.com/desc_1023527/?PK=0E0367&arearoute=1,兵庫県西宮市霞町5-44　ヴィンテージ夙川302,採用担当,0798-22-2650,
社会福祉法人湖星会（特別養護老人ホーム ラスール苗穂）,http://koseikai-star.com,https://employment.en-japan.com/desc_1026496/?PK=0E0367&arearoute=1,【特別養護老人ホーム ラスール苗穂】/〒060-0032　北海道札幌市中央区北2条東19丁目11-2,採用担当,011-206-7677(代表),
株式会社クラ・ゼミ,https://kirari-kodomo.com/,https://employment.en-japan.com/desc_1026577/?PK=0E0367&arearoute=1,■株式会社クラ・ゼミ/〒430-0944/静岡県浜松市中区田町230-15,採用担当,053-458-6111,
